category,page_url,page_title,content_id,guidance_proposition_id,guidance_proposition_text,section_locator,source_paragraphs,comparison_id,relationship,confidence,cosine_score,bert_score_f1,explanation,assessment_status,coverage_result,candidate_count,reportable_comparison_count,ungrounded_candidate_count,law_proposition_id,law_proposition_text,law_source_record_id,law_name,law_url,law_provision_url,law_short_name,law_label,law_fragment_locator
ssafo-nitrates,https://www.gov.uk/guidance/grassland-derogations-for-livestock-manure-in-nitrate-vulnerable-zones,Grassland derogations for livestock manure in nitrate vulnerable zones,5fa75896-7631-11e4-a3cb-005056011aef,susan-41dbc58cc6ea1113-1,A livestock manure holder in a nitrate vulnerable zone may apply up to 170kg per hectare of nitrogen in livestock manure on their holding in each calendar year.,section:intro,You can apply up to 170kg per hectare of nitrogen in livestock manure on your holding in a nitrate vulnerable zone ( NVZ ) in each calendar year.,m-4111366e,GROUNDED,high,0.8004,,"The guidance accurately restates the statutory obligation: the 170 kg per hectare per calendar year ceiling on nitrogen from livestock manure applied to a holding. The guidance characterises this as a permission ('may apply up to') rather than a duty ('must not exceed'), but both formulations describe the same quantitative limit without adding to or subtracting from it.",COMPLETE,HAS_REPORTABLE_COMPARISON,1,1,0,bcand:44654d1fd1959fe9,"The occupier of a holding must ensure that, in any calendar year, the total amount of nitrogen in livestock manure applied to the holding (whether directly by an animal or by spreading) does not exceed 170 kg multiplied by the area of the holding in hectares.",lex-120b4f9c395b3f94,The Nitrate Pollution Prevention Regulations 2015,https://www.legislation.gov.uk/uksi/2015/668/contents/made,https://www.legislation.gov.uk/uksi/2015/668/regulation/7/1,,,regulation:7:paragraph:1
ssafo-nitrates,https://www.gov.uk/guidance/grassland-derogations-for-livestock-manure-in-nitrate-vulnerable-zones,Grassland derogations for livestock manure in nitrate vulnerable zones,5fa75896-7631-11e4-a3cb-005056011aef,susan-41dbc58cc6ea1113-10,A farmer must apply between 10 November and 31 December 2025 for a grassland derogation in 2026.,section:grassland-derogations-for-2026,You must apply between 10 November and 31 December 2025 for a grassland derogation in 2026.,m-8e2736ea,GUIDANCE_BROADER,high,0.762,,"The law opens the application window from 1st October, but the guidance starts it on 10 November, narrowing the permitted opening date and imposing a higher bar on farmers (a later start date). This exceeds the statutory floor without contradicting it under rule 3/4.",COMPLETE,HAS_REPORTABLE_COMPARISON,15,1,14,bcand:ed78fbaa1f454ae6,An application for derogation must be submitted between 1st October and 31st December in the calendar year preceding the calendar year to which the application relates.,lex-120b4f9c395b3f94,The Nitrate Pollution Prevention Regulations 2015,https://www.legislation.gov.uk/uksi/2015/668/contents/made,https://www.legislation.gov.uk/uksi/2015/668/regulation/36/5,,,regulation:36:paragraph:5
ssafo-nitrates,https://www.gov.uk/guidance/grassland-derogations-for-livestock-manure-in-nitrate-vulnerable-zones,Grassland derogations for livestock manure in nitrate vulnerable zones,5fa75896-7631-11e4-a3cb-005056011aef,susan-41dbc58cc6ea1113-11,"When applying for a derogation, a farmer must provide their farm name, address, County Parish Holding (CPH) number, and a map showing the location and extent of the land parcels that make up their holding.",,"When you apply, you must give the:
farm name, address and your County Parish Holding (CPH) number and provide a map showing the location and extent of the land parcels that make up your holding",m-7bd939c1,GUIDANCE_BROADER,high,0.7116,,"Regulation 36(6) requires the application to be in the form and manner published by the Secretary of State but does not itself specify the particular data fields. The guidance enumerates specific items (farm name, address, CPH number, map), which adds requirements beyond what the statutory text states — hence broader than the floor set by the statute.",COMPLETE,HAS_REPORTABLE_COMPARISON,15,1,14,bcand:70834a0eeeaaaee9,An application for derogation must be made in the form and manner published by the Secretary of State.,lex-120b4f9c395b3f94,The Nitrate Pollution Prevention Regulations 2015,https://www.legislation.gov.uk/uksi/2015/668/contents/made,https://www.legislation.gov.uk/uksi/2015/668/regulation/36/6,,,regulation:36:paragraph:6
ssafo-nitrates,https://www.gov.uk/guidance/grassland-derogations-for-livestock-manure-in-nitrate-vulnerable-zones,Grassland derogations for livestock manure in nitrate vulnerable zones,5fa75896-7631-11e4-a3cb-005056011aef,susan-41dbc58cc6ea1113-12,"When applying for a derogation, a farmer must provide the agricultural area and grassland area of their farm in hectares on 1 January of the year for which they are applying.",section:grassland-derogations-for-2026,agricultural area and grassland area of your farm in hectares on 1 January of the year for which you are applying,m-daadcebf,GUIDANCE_BROADER,medium,0.7856,,"Regulation 36(1) establishes that an occupier may apply for a derogation where 80% or more of the agricultural area is sown with grass, but does not itself specify what information (agricultural area and grassland area in hectares as at 1 January) must be supplied in the application. The guidance adds a specific data-provision requirement beyond what this clause states, making it broader than the clause without contradicting it.",COMPLETE,HAS_REPORTABLE_COMPARISON,2,1,1,bcand:f27d068bf8f73e85,The occupier of a holding may apply to the Agency for a derogation where 80% or more of the agricultural area of the holding is sown with grass.,lex-120b4f9c395b3f94,The Nitrate Pollution Prevention Regulations 2015,https://www.legislation.gov.uk/uksi/2015/668/contents/made,https://www.legislation.gov.uk/uksi/2015/668/regulation/36/1,,,regulation:36:paragraph:1
ssafo-nitrates,https://www.gov.uk/guidance/grassland-derogations-for-livestock-manure-in-nitrate-vulnerable-zones,Grassland derogations for livestock manure in nitrate vulnerable zones,5fa75896-7631-11e4-a3cb-005056011aef,susan-41dbc58cc6ea1113-13,"When applying for a derogation, a farmer must provide the amount of manure nitrogen produced by grazing livestock kept on their farm during the calendar year in kilograms of nitrogen (kgN).",section:grassland-derogations-for-2026,amount of manure nitrogen produced by grazing livestock kept on your farm during the calendar year in kilograms of nitrogen ( kgN ),,,,,,,COMPLETE,ONLY_UNGROUNDED_CANDIDATES,15,0,15,,,,,,,,,
ssafo-nitrates,https://www.gov.uk/guidance/grassland-derogations-for-livestock-manure-in-nitrate-vulnerable-zones,Grassland derogations for livestock manure in nitrate vulnerable zones,5fa75896-7631-11e4-a3cb-005056011aef,susan-41dbc58cc6ea1113-14,"When applying for a derogation, a farmer must provide the amount of manure nitrogen produced by grazing livestock they intend to bring onto or send off their farm during the calendar year (kgN).",section:grassland-derogations-for-2026,amount of manure nitrogen produced by grazing livestock you intend to bring onto or send off your farm during the calendar year ( kgN ),m-c8dd6a3e,GROUNDED,medium,0.7559,,"This provision directly requires the occupier to record the type and amount of livestock manure intended to be brought onto the holding during the derogation year, which corresponds to the guidance requirement to provide the amount of manure nitrogen from grazing livestock intended to be brought onto the farm. The guidance adds the specific metric (kgN) and extends to send-off, but the core obligation is reflected here.",COMPLETE,HAS_REPORTABLE_COMPARISON,15,2,13,bcand:bd158d02dc68a9bf,The occupier must make a record of the type and amount of livestock manure intended to be brought on to the holding during the calendar year to which the derogation relates.,lex-120b4f9c395b3f94,The Nitrate Pollution Prevention Regulations 2015,https://www.legislation.gov.uk/uksi/2015/668/contents/made,https://www.legislation.gov.uk/uksi/2015/668/schedule/3/paragraph/15,,,schedule:3:paragraph:15:subparagraph:1:item:a
ssafo-nitrates,https://www.gov.uk/guidance/grassland-derogations-for-livestock-manure-in-nitrate-vulnerable-zones,Grassland derogations for livestock manure in nitrate vulnerable zones,5fa75896-7631-11e4-a3cb-005056011aef,susan-41dbc58cc6ea1113-14,"When applying for a derogation, a farmer must provide the amount of manure nitrogen produced by grazing livestock they intend to bring onto or send off their farm during the calendar year (kgN).",section:grassland-derogations-for-2026,amount of manure nitrogen produced by grazing livestock you intend to bring onto or send off your farm during the calendar year ( kgN ),m-82ff2f7c,GROUNDED,medium,0.7528,,"This provision requires recording the type and amount of livestock manure intended to be sent off the holding during the derogation year, directly supporting the part of the guidance about manure sent off the farm.",COMPLETE,HAS_REPORTABLE_COMPARISON,15,2,13,bcand:2973cdbe802e63cb,The occupier must make a record of the type and amount of livestock manure intended to be sent off the holding during the calendar year to which the derogation relates.,lex-120b4f9c395b3f94,The Nitrate Pollution Prevention Regulations 2015,https://www.legislation.gov.uk/uksi/2015/668/contents/made,https://www.legislation.gov.uk/uksi/2015/668/schedule/3/paragraph/15,,,schedule:3:paragraph:15:subparagraph:1:item:a
ssafo-nitrates,https://www.gov.uk/guidance/grassland-derogations-for-livestock-manure-in-nitrate-vulnerable-zones,Grassland derogations for livestock manure in nitrate vulnerable zones,5fa75896-7631-11e4-a3cb-005056011aef,susan-41dbc58cc6ea1113-15,"When applying for a derogation, a farmer must provide the total amount of manure nitrogen from grazing livestock on their farm during the calendar year (kgN).",section:grassland-derogations-for-2026,total amount of manure nitrogen from grazing livestock on your farm during the calendar year ( kgN ),,,,,,,COMPLETE,ONLY_UNGROUNDED_CANDIDATES,15,0,15,,,,,,,,,
ssafo-nitrates,https://www.gov.uk/guidance/grassland-derogations-for-livestock-manure-in-nitrate-vulnerable-zones,Grassland derogations for livestock manure in nitrate vulnerable zones,5fa75896-7631-11e4-a3cb-005056011aef,susan-41dbc58cc6ea1113-16,"When applying for a derogation, a farmer must provide the amount of manure nitrogen produced by non-grazing livestock on their farm during the calendar year (kgN).",section:grassland-derogations-for-2026,amount of manure nitrogen produced by non-grazing livestock on your farm during the calendar year ( kgN ),,,,,,,COMPLETE,NO_CANDIDATES_FOUND,0,0,0,,,,,,,,,
ssafo-nitrates,https://www.gov.uk/guidance/grassland-derogations-for-livestock-manure-in-nitrate-vulnerable-zones,Grassland derogations for livestock manure in nitrate vulnerable zones,5fa75896-7631-11e4-a3cb-005056011aef,susan-41dbc58cc6ea1113-17,"When applying for a derogation, a farmer must provide the amount of manure nitrogen produced by non-grazing livestock they intend to bring onto or send off their farm during the calendar year (kgN).",section:grassland-derogations-for-2026,amount of manure nitrogen produced by non-grazing livestock you intend to bring onto or send off your farm during the calendar year ( kgN ),,,,,,,COMPLETE,NO_CANDIDATES_FOUND,0,0,0,,,,,,,,,
